,Start,Center,End,alphaC0,alphaC0_std,alphaC1,alphaC1_std,alphaC2,alphaC2_std,alphaN0,alphaN0_std,alphaN1,alphaN1_std
1125,0.022206645802518896,0.02473114531204193,0.027255644821564968,0.5903569159970837,0.000732464844589217,-3.44389548358122,0.029336743677212233,0.0,0.0,0.0,0.0,0.0,0.0
1126,0.022225345798885732,0.024749845308408767,0.027274344817931805,0.5900281119346216,0.0007345453213002802,-3.430616895093056,0.029398362822217715,0.0,0.0,0.0,0.0,0.0,0.0
1127,0.02224404579525257,0.024768545304775607,0.02729304481429864,0.5896992965642804,0.0007366015150590164,-3.4173480915371583,0.0294589204599843,0.0,0.0,0.0,0.0,0.0,0.0
1128,0.022262745791619406,0.024787245301142444,0.027311744810665478,0.5893696292429367,0.0007386328352046358,-3.4040554002465826,0.029518394019602184,0.0,0.0,0.0,0.0,0.0,0.0
1129,0.022281445787986246,0.02480594529750928,0.027330444807032315,0.5890391641582386,0.0007406388477093666,-3.3907410418509456,0.029576769585598316,0.0,0.0,0.0,0.0,0.0,0.0
1130,0.022300145784353083,0.024824645293876117,0.02734914480339915,0.5887079892225072,0.0007426184789671766,-3.377408578575208,0.029634006360540824,0.0,0.0,0.0,0.0,0.0,0.0
1131,0.02231884578071992,0.024843345290242954,0.027367844799765992,0.5883761042070792,0.0007445715336729919,-3.3640580416466617,0.029690099549922164,0.0,0.0,0.0,0.0,0.0,0.0
1132,0.022337545777086756,0.02486204528660979,0.02738654479613283,0.5880442081791858,0.0007464973019716108,-3.3507173726442567,0.029745022593389226,0.0,0.0,0.0,0.0,0.0,0.0
1133,0.022356245773453593,0.02488074528297663,0.027405244792499665,0.5877116017505459,0.0007483949949596779,-3.337358656452586,0.029798747394039912,0.0,0.0,0.0,0.0,0.0,0.0
1134,0.02237494576982043,0.024899445279343468,0.027423944788866502,0.5873768828453303,0.0007502641767604815,-3.3239260555448134,0.029851258584804256,0.0,0.0,0.0,0.0,0.0,0.0
1135,0.02239364576618727,0.024918145275710304,0.02744264478523334,0.5870428532194364,0.0007521042843157669,-3.310531311013127,0.029902536785330724,0.0,0.0,0.0,0.0,0.0,0.0
1136,0.022412345762554107,0.02493684527207714,0.027461344781600176,0.5867081117302944,0.0007539148523603366,-3.297118581353392,0.029952566537169226,0.0,0.0,0.0,0.0,0.0,0.0
1137,0.022431045758920944,0.024955545268443978,0.027480044777967016,0.5863712531393767,0.0007556953011878934,-3.2836320261863534,0.030001327005572564,0.0,0.0,0.0,0.0,0.0,0.0
1138,0.02244974575528778,0.024974245264810815,0.027498744774333853,0.5860364913077768,0.0007574449858531855,-3.27023925280409,0.030048795537375605,0.0,0.0,0.0,0.0,0.0,0.0
1139,0.022468445751654617,0.024992945261177655,0.02751744477070069,0.5856991425436451,0.0007591635064265655,-3.2567540779417548,0.030094959313260502,0.0,0.0,0.0,0.0,0.0,0.0
1140,0.022487145748021454,0.02501164525754449,0.027536144767067526,0.5853624873545966,0.0007608501059338566,-3.243306870198834,0.030139790918115972,0.0,0.0,0.0,0.0,0.0,0.0
1141,0.022505845744388294,0.02503034525391133,0.027554844763434363,0.5850237106720978,0.000762504566930135,-3.229785931183963,0.030183284937636706,0.0,0.0,0.0,0.0,0.0,0.0
1142,0.02252454574075513,0.025049045250278165,0.0275735447598012,0.5846851589206418,0.0007641261972876957,-3.2162843891248474,0.030225416740466974,0.0,0.0,0.0,0.0,0.0,0.0
1143,0.022543245737121968,0.025067745246645002,0.02759224475616804,0.5843454228676978,0.000765714729988031,-3.202746408606292,0.03026617889878089,0.0,0.0,0.0,0.0,0.0,0.0
1144,0.022561945733488804,0.02508644524301184,0.027610944752534877,0.5840054425450414,0.000767269435062782,-3.1892092598633677,0.030305545390199792,0.0,0.0,0.0,0.0,0.0,0.0
1145,0.02258064572985564,0.025105145239378675,0.027629644748901713,0.583665454154448,0.0007687899654983139,-3.175682279459841,0.03034350564528548,0.0,0.0,0.0,0.0,0.0,0.0
1146,0.022599345726222478,0.025123845235745516,0.02764834474526855,0.5833242691946453,0.0007702758350539626,-3.1621184942915193,0.030380043587251895,0.0,0.0,0.0,0.0,0.0,0.0
1147,0.022618045722589315,0.025142545232112352,0.027667044741635387,0.582982869263197,0.0007717266156863989,-3.1485567347961396,0.030415145061088795,0.0,0.0,0.0,0.0,0.0,0.0
1148,0.022636745718956155,0.02516124522847919,0.027685744738002224,0.5826399106039574,0.0007731419908039678,-3.1349439897838867,0.03044880128872492,0.0,0.0,0.0,0.0,0.0,0.0
1149,0.02265544571532299,0.025179945224846026,0.02770444473436906,0.5822981066186277,0.0007745215766787843,-3.1213873290858496,0.03048100055797614,0.0,0.0,0.0,0.0,0.0,0.0
1150,0.02267414571168983,0.025198645221212863,0.0277231447307359,0.5819547422630488,0.0007758645822013691,-3.1077796860484526,0.03051171393431717,0.0,0.0,0.0,0.0,0.0,0.0
1151,0.022692845708056665,0.0252173452175797,0.027741844727102737,0.5816108791342842,0.0007771708417179593,-3.0941629580325443,0.030540938783017377,0.0,0.0,0.0,0.0,0.0,0.0
1152,0.022711545704423502,0.02523604521394654,0.027760544723469574,0.5812668718169921,0.0007784402055402589,-3.080551112137565,0.03056867222501441,0.0,0.0,0.0,0.0,0.0,0.0
1153,0.02273024570079034,0.025254745210313376,0.02777924471983641,0.5809223652829654,0.0007796720506150875,-3.066930184305065,0.030594893206432567,0.0,0.0,0.0,0.0,0.0,0.0
1154,0.02274894569715718,0.025273445206680213,0.027797944716203248,0.5805768849284212,0.0007808659392263285,-3.0532815546477887,0.030619587574565617,0.0,0.0,0.0,0.0,0.0,0.0
1155,0.022767645693524016,0.02529214520304705,0.027816644712570084,0.5802311409013193,0.000782021604643012,-3.039633155163123,0.030642748778558205,0.0,0.0,0.0,0.0,0.0,0.0
1156,0.022786345689890852,0.025310845199413887,0.027835344708936925,0.5798867950802863,0.0007831389666240339,-3.0260501624940512,0.030664376612052884,0.0,0.0,0.0,0.0,0.0,0.0
1157,0.02280504568625769,0.025329545195780723,0.02785404470530376,0.5795374366160011,0.000784217371546526,-3.0122811930530062,0.03068444863518045,0.0,0.0,0.0,0.0,0.0,0.0
1158,0.022823745682624526,0.025348245192147564,0.027872744701670598,0.5791911383674828,0.0007852566265506133,-2.9986427988062796,0.03070296088049886,0.0,0.0,0.0,0.0,0.0,0.0
1159,0.022842445678991363,0.0253669451885144,0.027891444698037435,0.5788435062389177,0.0007862564182554676,-2.9849627409519943,0.03071990429332841,0.0,0.0,0.0,0.0,0.0,0.0
1160,0.022861145675358203,0.025385645184881237,0.02791014469440427,0.5784958473709141,0.000787216430852929,-2.971292226503382,0.03073527003532443,0.0,0.0,0.0,0.0,0.0,0.0
1161,0.02287984567172504,0.025404345181248074,0.027928844690771108,0.5781473283835666,0.0007881366515586574,-2.9575986694184113,0.030749061636620088,0.0,0.0,0.0,0.0,0.0,0.0
1162,0.022898545668091876,0.02542304517761491,0.02794754468713795,0.5777979479769527,0.0007890163302525817,-2.9438820695403747,0.03076125194678024,0.0,0.0,0.0,0.0,0.0,0.0
1163,0.022917245664458713,0.025441745173981747,0.027966244683504785,0.5774485399298569,0.000789855543702856,-2.9301750120477394,0.030771848235662452,0.0,0.0,0.0,0.0,0.0,0.0
1164,0.02293594566082555,0.025460445170348588,0.027984944679871622,0.5770992241361416,0.0007906541705624764,-2.9164821520401945,0.030780849200673234,0.0,0.0,0.0,0.0,0.0,0.0
1165,0.022954645657192387,0.025479145166715424,0.02800364467623846,0.5767484482211865,0.0007914118005373207,-2.902742971854243,0.030788242025536913,0.0,0.0,0.0,0.0,0.0,0.0
1166,0.022973345653559223,0.02549784516308226,0.028022344672605295,0.5763981224616044,0.0007921283049687766,-2.889031951903413,0.030794025618311724,0.0,0.0,0.0,0.0,0.0,0.0
1167,0.022992045649926064,0.025516545159449098,0.028041044668972132,0.5760472912337682,0.0007928032951988878,-2.8753118502376074,0.030798187950697532,0.0,0.0,0.0,0.0,0.0,0.0
1168,0.0230107456462929,0.025535245155815935,0.02805974466533897,0.5756958941053386,0.0007934368565596435,-2.8615803374932485,0.030800735790258615,0.0,0.0,0.0,0.0,0.0,0.0
1169,0.023029445642659737,0.02555394515218277,0.02807844466170581,0.5753443497230222,0.0007940288175666703,-2.8478537046021657,0.03080166614717407,0.0,0.0,0.0,0.0,0.0,0.0
1170,0.023048145639026574,0.025572645148549608,0.028097144658072646,0.5749922386134914,0.000794578804495812,-2.834115655860644,0.03080096766041949,0.0,0.0,0.0,0.0,0.0,0.0
