"link-primary","link-primary href","CompanyLogo src","SearchResultCard__status","SearchResultCard__favoriteLink href","Tag","SearchResultCard__footerItem","SearchResultCard__footerItem 2","SearchResultCard__favoriteLink href 2"
"Data Scientist","https://www.jobs.cz/rpd/1573596974/?searchId=f574af2f-832b-43be-8e5c-264eab03ff35&rps=233","https://my.teamio.com/recruit/logo?id=240c73c2-100b-4540-a11f-28de1243cf5e&v=1643282390028&width=180","21. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?q%255B0%255D%3Ddata%26addToFavorite%3D1573596974","Odpověď do 2 týdnů","ČEZ, a. s.","Praha – Michle","[object Object]"
"Junior Data Analyst – recommendation engine","https://www.jobs.cz/rpd/1626569531/?searchId=f574af2f-832b-43be-8e5c-264eab03ff35&rps=233","https://my.teamio.com/recruit/logo?id=1ed225be-72d3-47c2-89a2-33f7b7389e05&v=1634905391114&width=180","21. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?q%255B0%255D%3Ddata%26addToFavorite%3D1626569531","Odpověď do 2 týdnů","Notino","Brno – Štýřice + 1 další lokalita","[object Object]"
"Data Inženýr Junior (M/Ž)","https://www.jobs.cz/rpd/1626055112/?searchId=f574af2f-832b-43be-8e5c-264eab03ff35&rps=233","https://my.teamio.com/recruit/logo?id=240c73c2-100b-4540-a11f-28de1243cf5e&v=1643282390028&width=180","13. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?q%255B0%255D%3Ddata%26addToFavorite%3D1626055112","Odpověď do 2 týdnů","ČEZ, a. s.","Hradec Králové – Pražské Předměstí + 1 další lokalita","[object Object]"
"Data Scientist in Automotive (f/m/d)","https://www.jobs.cz/rpd/1623690240/?searchId=f574af2f-832b-43be-8e5c-264eab03ff35&rps=233","https://my.teamio.com/recruit/logo?id=2a7eabf4-a317-4354-aaca-eb9cd6d0a39f&v=1636528606134&width=180","10. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?q%255B0%255D%3Ddata%26addToFavorite%3D1623690240","Odpověď do 2 týdnů","Porsche Engineering Services, s.r.o.","Praha – Jinonice","[object Object]"
"Marketing Data Analyst (JPO13636)","https://www.jobs.cz/rpd/1623727633/?searchId=f574af2f-832b-43be-8e5c-264eab03ff35&rps=233","https://my.teamio.com/recruit/logo?id=c13ebba3-cfef-4fdd-ac47-1be9340ff0ee&v=1568803630397&width=180","12. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?q%255B0%255D%3Ddata%26addToFavorite%3D1623727633","Odpověď do 2 týdnů","Alza.cz a.s.","Praha – Holešovice","[object Object]"
"(Senior) Data Scientist for NLP projects","https://www.jobs.cz/rpd/1625687350/?searchId=f574af2f-832b-43be-8e5c-264eab03ff35&rps=233","","Aktualizováno před 2 hodinami","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?q%255B0%255D%3Ddata%26addToFavorite%3D1625687350","Možnost občasné práce z domova","Deutsche Telekom Services Europe Czech Republic s.r.o.","Brno – Štýřice","[object Object]"
"Software Developer and Data Analyst (f/m/d)","https://www.jobs.cz/rpd/1571839061/?searchId=f574af2f-832b-43be-8e5c-264eab03ff35&rps=233","https://my.teamio.com/recruit/logo?id=2a7eabf4-a317-4354-aaca-eb9cd6d0a39f&v=1636528606134&width=180","10. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?q%255B0%255D%3Ddata%26addToFavorite%3D1571839061","Odpověď do 2 týdnů","Porsche Engineering Services, s.r.o.","Praha – Jinonice","[object Object]"
"Senior Data Analytik/Analytička","https://www.jobs.cz/rpd/1621023403/?searchId=f574af2f-832b-43be-8e5c-264eab03ff35&rps=233","https://my.teamio.com/recruit/logo?id=e3d38012-0e25-4a97-a7df-c3709118c188&v=1621932349676&width=180","2. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?q%255B0%255D%3Ddata%26addToFavorite%3D1621023403","Možnost občasné práce z domova","MONETA Money Bank, a.s.","Praha","[object Object]"
"Data Analytik","https://www.jobs.cz/rpd/1624802785/?searchId=f574af2f-832b-43be-8e5c-264eab03ff35&rps=233","https://my.teamio.com/recruit/logo?id=8012c1c9-e9a4-44c7-8cf0-48f1460e8470&v=1568798825469&width=180","20. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?q%255B0%255D%3Ddata%26addToFavorite%3D1624802785","Možnost občasné práce z domova","Sodexo – Řešení pro motivaci","Praha – Smíchov","[object Object]"
"⋙ Data Engineer (medior/senior) do super party ⋘","https://www.jobs.cz/rpd/1626387066/?searchId=f574af2f-832b-43be-8e5c-264eab03ff35&rps=233","https://my.teamio.com/recruit/logo?id=fdb99c53-4e70-4d29-9fd4-8e4a02afd123&v=1635177509175&width=180","18. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?q%255B0%255D%3Ddata%26addToFavorite%3D1626387066","Odpověď do 2 týdnů","mBlue Czech, s.r.o.","Praha","[object Object]"
"Senior Data Engineer","https://www.jobs.cz/rpd/1602906657/?searchId=f574af2f-832b-43be-8e5c-264eab03ff35&rps=233","https://my.teamio.com/recruit/logo?id=017d6199-ab56-4664-8517-fa1b641a59a9&v=1580375797009&width=180","3. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?q%255B0%255D%3Ddata%26addToFavorite%3D1602906657","Odpověď do 2 týdnů","NN","Praha – Smíchov","[object Object]"
"Data Engineer","https://www.jobs.cz/rpd/1626593989/?searchId=f574af2f-832b-43be-8e5c-264eab03ff35&rps=233","https://my.teamio.com/recruit/logo?id=1ed225be-72d3-47c2-89a2-33f7b7389e05&v=1634905391114&width=180","21. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?q%255B0%255D%3Ddata%26addToFavorite%3D1626593989","Odpověď do 2 týdnů","Notino","Brno – Štýřice + 1 další lokalita","[object Object]"
"Data Analyst (f/m/d)","https://www.jobs.cz/rpd/1550282212/?searchId=f574af2f-832b-43be-8e5c-264eab03ff35&rps=233","https://my.teamio.com/recruit/logo?id=2a7eabf4-a317-4354-aaca-eb9cd6d0a39f&v=1636528606134&width=180","10. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?q%255B0%255D%3Ddata%26addToFavorite%3D1550282212","Odpověď do 2 týdnů","Porsche Engineering Services, s.r.o.","Ostrava – Pustkovec","[object Object]"
"Data analytik/čka se znalostmi NLP","https://www.jobs.cz/rpd/1617524317/?searchId=f574af2f-832b-43be-8e5c-264eab03ff35&rps=233","https://my.teamio.com/recruit/logo?id=ba8dd34c-911a-4cf4-8ecb-7586685d2949&v=1674740762523&width=180","3. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?q%255B0%255D%3Ddata%26addToFavorite%3D1617524317","","Česká spořitelna, a.s.","Praha","[object Object]"
"IT Specialista pro EDI výměnu dat (m/ž)","https://www.jobs.cz/rpd/1626526887/?searchId=f574af2f-832b-43be-8e5c-264eab03ff35&rps=233","https://my.teamio.com/recruit/logo?id=ba3bbf34-87cc-48c7-9cb4-c0a8381c72e9&v=1594630465801&width=180","20. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?q%255B0%255D%3Ddata%26addToFavorite%3D1626526887","Odpověď do 2 týdnů","Geis CZ s.r.o.","Ejpovice","[object Object]"
"Senior Data Specialist / Data Designer (Architect)","https://www.jobs.cz/rpd/1626480827/?searchId=aa7988a0-1c69-49e9-9ac5-46e65c83cda0&rps=233","https://my.teamio.com/recruit/logo?id=ba8dd34c-911a-4cf4-8ecb-7586685d2949&v=1674740762523&width=180","20. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?page%3D2%26q%255B0%255D%3Ddata%26addToFavorite%3D1626480827","","Česká spořitelna, a.s.","Praha – Michle",""
"Junior Data Scientist","https://www.jobs.cz/rpd/1626035054/?searchId=aa7988a0-1c69-49e9-9ac5-46e65c83cda0&rps=233","https://my.teamio.com/recruit/logo?id=f873bb09-aaff-4a1c-a44d-b13e5f6b17e6&v=1588858987784&width=180","13. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?page%3D2%26q%255B0%255D%3Ddata%26addToFavorite%3D1626035054","Možnost občasné práce z domova","EY","Praha","[object Object]"
"Data Analyst- Junior/Senior","https://www.jobs.cz/rpd/1626154205/?searchId=aa7988a0-1c69-49e9-9ac5-46e65c83cda0&rps=233","https://my.teamio.com/recruit/logo?id=3be2a311-e837-4f13-a88c-e4d070b9e3d4&v=1568798192947&width=180","14. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?page%3D2%26q%255B0%255D%3Ddata%26addToFavorite%3D1626154205","","ADECCO spol.s r.o.","Jihočeský kraj","[object Object]"
"Co & Re Specialist – Customer Master Data Specialist","https://www.jobs.cz/rpd/1623304920/?searchId=aa7988a0-1c69-49e9-9ac5-46e65c83cda0&rps=233","","26. června","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/?page%3D2%26q%255B0%255D%3Ddata%26addToFavorite%3D1623304920","Práce převážně z domova","Knorr-Bremse Services Europe s.r.o.","Liberec","[object Object]"
