"link-primary","link-primary href","SearchResultCard__status","SearchResultCard__favoriteLink href","SearchResultCard__footerItem","SearchResultCard__footerItem 2","CompanyLogo src","SearchResultCard__favoriteLink href 2","Tag 2"
"DevOps Engineer","https://www.jobs.cz/rpd/1619813118/?searchId=9902cd5d-c81a-4ce2-9119-e31760d54164&rps=233","20. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/praha/?locality%255Bcode%255D%3DR200000%26locality%255Blabel%255D%3DPraha%26locality%255Bcoords%255D%3D50.08455%252C14.41778%26locality%255Bradius%255D%3D0%26page%3D13%26q%255B0%255D%3Dpython%26q%255B1%255D%3Djunior%26addToFavorite%3D1619813118","MallGroup","Praha","https://my.teamio.com/recruit/logo?id=201ad428-afa3-41f8-925a-27b49c2e53d2&v=1638868655380&width=180","[object Object]","Možnost občasné práce z domova"
"Infrastructure Automation Engineer/Developer (CICD)","https://www.jobs.cz/rpd/1610156284/?searchId=9902cd5d-c81a-4ce2-9119-e31760d54164&rps=233","20. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/praha/?locality%255Bcode%255D%3DR200000%26locality%255Blabel%255D%3DPraha%26locality%255Bcoords%255D%3D50.08455%252C14.41778%26locality%255Bradius%255D%3D0%26page%3D13%26q%255B0%255D%3Dpython%26q%255B1%255D%3Djunior%26addToFavorite%3D1610156284","COMMERZBANK Aktiengesellschaft, pobočka Praha","Praha – Nové Město","https://my.teamio.com/recruit/logo?id=6c1742a9-e4f5-432b-a9c2-6f7591dc4745&v=1632310647991&width=180","[object Object]","Možnost občasné práce z domova"
"Databázový administrátor (m/ž) - O2 IT Services","https://www.jobs.cz/rpd/1626546484/?searchId=9902cd5d-c81a-4ce2-9119-e31760d54164&rps=233","20. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/praha/?locality%255Bcode%255D%3DR200000%26locality%255Blabel%255D%3DPraha%26locality%255Bcoords%255D%3D50.08455%252C14.41778%26locality%255Bradius%255D%3D0%26page%3D13%26q%255B0%255D%3Dpython%26q%255B1%255D%3Djunior%26addToFavorite%3D1626546484","O2 Czech Republic a.s.","Praha – Michle","https://my.teamio.com/recruit/logo?id=059e800c-38b4-474b-bf64-c53263b5b26e&v=1568803557574&width=180","[object Object]","Možnost občasné práce z domova"
"DevOps Engineer (m/ž) - O2 IT Services","https://www.jobs.cz/rpd/1626545967/?searchId=9902cd5d-c81a-4ce2-9119-e31760d54164&rps=233","20. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/praha/?locality%255Bcode%255D%3DR200000%26locality%255Blabel%255D%3DPraha%26locality%255Bcoords%255D%3D50.08455%252C14.41778%26locality%255Bradius%255D%3D0%26page%3D13%26q%255B0%255D%3Dpython%26q%255B1%255D%3Djunior%26addToFavorite%3D1626545967","O2 Czech Republic a.s.","Praha – Michle","https://my.teamio.com/recruit/logo?id=059e800c-38b4-474b-bf64-c53263b5b26e&v=1568803557574&width=180","[object Object]",""
"DevOps Engineer, IČO, Bankovní sektor","https://www.jobs.cz/rpd/1626506651/?searchId=9902cd5d-c81a-4ce2-9119-e31760d54164&rps=233","20. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/praha/?locality%255Bcode%255D%3DR200000%26locality%255Blabel%255D%3DPraha%26locality%255Bcoords%255D%3D50.08455%252C14.41778%26locality%255Bradius%255D%3D0%26page%3D13%26q%255B0%255D%3Dpython%26q%255B1%255D%3Djunior%26addToFavorite%3D1626506651","teamIT s.r.o.","Praha","https://my.teamio.com/recruit/logo?id=5156557f-24c8-4416-8adb-fbf9c7b71f8a&v=1580483273810&width=180","[object Object]","Práce převážně z domova"
"DevOps Engineer - possibility of sign on bonus","https://www.jobs.cz/rpd/1601692403/?searchId=9902cd5d-c81a-4ce2-9119-e31760d54164&rps=233","20. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/praha/?locality%255Bcode%255D%3DR200000%26locality%255Blabel%255D%3DPraha%26locality%255Bcoords%255D%3D50.08455%252C14.41778%26locality%255Bradius%255D%3D0%26page%3D13%26q%255B0%255D%3Dpython%26q%255B1%255D%3Djunior%26addToFavorite%3D1601692403","Vodafone Czech Republic a.s.","Praha – Stodůlky","https://my.teamio.com/recruit/logo?id=59d4830d-3b99-4ffa-accd-c74c8b641bfe&v=1586239935859&width=180","[object Object]","Práce převážně z domova"
"Lead Data Analyst –  prodejní síť (JPO24277)","https://www.jobs.cz/rpd/1626477389/?searchId=9902cd5d-c81a-4ce2-9119-e31760d54164&rps=233","19. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/praha/?locality%255Bcode%255D%3DR200000%26locality%255Blabel%255D%3DPraha%26locality%255Bcoords%255D%3D50.08455%252C14.41778%26locality%255Bradius%255D%3D0%26page%3D13%26q%255B0%255D%3Dpython%26q%255B1%255D%3Djunior%26addToFavorite%3D1626477389","Alza.cz a.s.","Praha – Holešovice","https://my.teamio.com/recruit/logo?id=c13ebba3-cfef-4fdd-ac47-1be9340ff0ee&v=1568803630397&width=180","[object Object]","Možnost občasné práce z domova"
"Analyst/(Sr.) Consultant for Data Analytics & Data Science","https://www.jobs.cz/rpd/2000049928/?searchId=9902cd5d-c81a-4ce2-9119-e31760d54164&rps=233","19. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/praha/?locality%255Bcode%255D%3DR200000%26locality%255Blabel%255D%3DPraha%26locality%255Bcoords%255D%3D50.08455%252C14.41778%26locality%255Bradius%255D%3D0%26page%3D13%26q%255B0%255D%3Dpython%26q%255B1%255D%3Djunior%26addToFavorite%3D2000049928","BearingPoint s.r.o.","Praha – Žižkov","","[object Object]","Práce převážně z domova"
"MANUÁLNÍ TESTER/KA | Automotive","https://www.jobs.cz/rpd/1621676567/?searchId=9902cd5d-c81a-4ce2-9119-e31760d54164&rps=233","19. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/praha/?locality%255Bcode%255D%3DR200000%26locality%255Blabel%255D%3DPraha%26locality%255Bcoords%255D%3D50.08455%252C14.41778%26locality%255Bradius%255D%3D0%26page%3D13%26q%255B0%255D%3Dpython%26q%255B1%255D%3Djunior%26addToFavorite%3D1621676567","CertiCon a.s.","Praha – Dejvice","https://my.teamio.com/recruit/logo?id=69caa057-fa74-4fa3-88a7-0d6083c8e0f8&v=1636351241816&width=180","[object Object]","Možnost občasné práce z domova"
".NET DEVELOPER | Zdravotnictví","https://www.jobs.cz/rpd/1626460637/?searchId=9902cd5d-c81a-4ce2-9119-e31760d54164&rps=233","19. července","https://www.jobs.cz/prihlasit-se/?ref=https://www.jobs.cz/prace/praha/?locality%255Bcode%255D%3DR200000%26locality%255Blabel%255D%3DPraha%26locality%255Bcoords%255D%3D50.08455%252C14.41778%26locality%255Bradius%255D%3D0%26page%3D13%26q%255B0%255D%3Dpython%26q%255B1%255D%3Djunior%26addToFavorite%3D1626460637","CertiCon a.s.","Praha – Dejvice","https://my.teamio.com/recruit/logo?id=69caa057-fa74-4fa3-88a7-0d6083c8e0f8&v=1636351241816&width=180","[object Object]","Možnost občasné práce z domova"
