Mass	Value
11,031	0,000000E+00
11,063	0,000000E+00
11,094	0,000000E+00
11,125	2,016074E-11
11,156	2,957698E-10
11,188	5,056619E-10
11,219	7,228937E-10
11,250	1,028635E-09
11,281	1,386184E-09
11,313	1,767700E-09
11,344	2,525095E-09
11,375	4,840129E-09
11,406	1,090087E-08
11,438	2,317239E-08
11,469	4,299351E-08
11,500	6,990525E-08
11,531	1,020442E-07
11,563	1,365805E-07
11,594	1,702123E-07
11,625	2,001388E-07
11,656	2,248007E-07
11,688	2,438274E-07
11,719	2,575746E-07
11,750	2,667093E-07
11,781	2,719897E-07
11,813	2,742950E-07
11,844	2,746989E-07
11,875	2,741917E-07
11,906	2,731756E-07
11,938	2,712752E-07
11,969	2,676599E-07
12,000	2,615826E-07
12,031	2,526358E-07
12,063	2,407640E-07
12,094	2,265866E-07
12,125	2,117728E-07
12,156	1,984206E-07
12,188	1,874161E-07
12,219	1,774966E-07
12,250	1,662934E-07
12,281	1,520306E-07
12,313	1,340490E-07
12,344	1,124769E-07
12,375	8,833639E-08
12,406	6,429989E-08
12,438	4,479516E-08
12,469	3,414513E-08
12,500	3,391051E-08
12,531	4,220065E-08
12,563	5,537605E-08
12,594	6,998529E-08
12,625	8,362823E-08
12,656	9,498252E-08
12,688	1,034886E-07
12,719	1,091569E-07
12,750	1,125092E-07
12,781	1,142571E-07
12,813	1,149125E-07
12,844	1,148097E-07
12,875	1,143123E-07
12,906	1,137475E-07
12,938	1,131522E-07
12,969	1,121809E-07
13,000	1,103458E-07
13,031	1,073262E-07
13,063	1,030388E-07
13,094	9,769247E-08
13,125	9,195842E-08
13,156	8,672883E-08
13,188	8,234726E-08
13,219	7,825385E-08
13,250	7,354403E-08
13,281	6,770761E-08
13,313	6,079974E-08
13,344	5,343483E-08
13,375	4,754140E-08
13,406	4,744563E-08
13,438	5,938070E-08
13,469	8,862279E-08
13,500	1,364155E-07
13,531	1,993812E-07
13,563	2,708663E-07
13,594	3,425288E-07
13,625	4,065427E-07
13,656	4,580978E-07
13,688	4,962219E-07
13,719	5,225314E-07
13,750	5,394173E-07
13,781	5,489610E-07
13,813	5,528574E-07
13,844	5,528353E-07
13,875	5,506518E-07
13,906	5,472823E-07
13,938	5,423473E-07
13,969	5,347019E-07
14,000	5,232476E-07
14,031	5,069836E-07
14,063	4,850778E-07
14,094	4,579524E-07
14,125	4,285184E-07
14,156	4,012058E-07
14,188	3,784699E-07
14,219	3,583603E-07
14,250	3,362043E-07
14,281	3,082698E-07
14,313	2,733602E-07
14,344	2,323402E-07
14,375	1,885101E-07
14,406	1,497033E-07
14,438	1,291694E-07
14,469	1,410853E-07
14,500	1,922135E-07
14,531	2,777927E-07
14,563	3,848335E-07
14,594	4,975326E-07
14,625	6,015484E-07
14,656	6,875000E-07
14,688	7,522601E-07
14,719	7,972862E-07
14,750	8,260570E-07
14,781	8,422655E-07
14,813	8,491209E-07
14,844	8,496557E-07
14,875	8,468545E-07
14,906	8,425192E-07
14,938	8,361577E-07
14,969	8,257807E-07
15,000	8,095039E-07
15,031	7,858120E-07
15,063	7,533168E-07
15,094	7,122079E-07
15,125	6,664628E-07
15,156	6,229660E-07
15,188	5,865005E-07
15,219	5,554837E-07
15,250	5,234731E-07
15,281	4,849207E-07
15,313	4,404245E-07
15,344	4,015446E-07
15,375	3,976270E-07
15,406	4,784832E-07
15,438	7,008184E-07
15,469	1,099923E-06
15,500	1,667694E-06
15,531	2,353770E-06
15,563	3,082849E-06
15,594	3,775702E-06
15,625	4,370982E-06
15,656	4,839607E-06
15,688	5,182027E-06
15,719	5,414523E-06
15,750	5,557550E-06
15,781	5,631419E-06
15,813	5,656737E-06
15,844	5,653311E-06
15,875	5,633586E-06
15,906	5,596656E-06
15,938	5,531817E-06
15,969	5,427413E-06
16,000	5,273915E-06
16,031	5,062946E-06
16,063	4,793681E-06
16,094	4,486569E-06
16,125	4,184353E-06
16,156	3,925475E-06
16,188	3,711208E-06
16,219	3,504144E-06
16,250	3,259430E-06
16,281	2,955321E-06
16,313	2,610924E-06
16,344	2,321482E-06
16,375	2,324858E-06
16,406	3,026566E-06
16,438	4,876933E-06
16,469	8,141519E-06
16,500	1,276046E-05
16,531	1,837402E-05
16,563	2,441444E-05
16,594	3,023561E-05
16,625	3,530812E-05
16,656	3,936833E-05
16,688	4,240227E-05
16,719	4,452442E-05
16,750	4,587890E-05
16,781	4,661072E-05
16,813	4,688182E-05
16,844	4,686994E-05
16,875	4,670797E-05
16,906	4,641324E-05
16,938	4,590019E-05
16,969	4,506293E-05
17,000	4,382039E-05
17,031	4,210520E-05
17,063	3,990152E-05
17,094	3,736444E-05
17,125	3,484450E-05
17,156	3,266066E-05
17,188	3,081844E-05
17,219	2,900592E-05
17,250	2,685168E-05
17,281	2,415352E-05
17,313	2,094751E-05
17,344	1,756839E-05
17,375	1,484017E-05
17,406	1,421070E-05
17,438	1,742585E-05
17,469	2,571733E-05
17,500	3,916926E-05
17,531	5,683197E-05
17,563	7,722711E-05
17,594	9,860823E-05
17,625	1,190880E-04
17,656	1,370222E-04
17,688	1,514496E-04
17,719	1,621835E-04
17,750	1,695685E-04
17,781	1,741661E-04
17,813	1,765685E-04
17,844	1,773842E-04
17,875	1,772188E-04
17,906	1,764637E-04
17,938	1,750797E-04
17,969	1,727069E-04
18,000	1,689598E-04
18,031	1,635410E-04
18,063	1,562692E-04
18,094	1,473486E-04
18,125	1,376484E-04
18,156	1,283688E-04
18,188	1,201152E-04
18,219	1,123179E-04
18,250	1,036758E-04
18,281	9,312369E-05
18,313	8,033382E-05
18,344	6,561230E-05
18,375	4,975747E-05
18,406	3,409977E-05
18,438	2,042978E-05
18,469	1,042419E-05
18,500	4,678831E-06
18,531	2,331514E-06
18,563	1,849157E-06
18,594	2,042718E-06
18,625	2,351936E-06
18,656	2,607290E-06
18,688	2,785516E-06
18,719	2,899312E-06
18,750	2,964106E-06
18,781	2,992433E-06
18,813	2,995652E-06
18,844	2,984571E-06
18,875	2,966423E-06
18,906	2,941311E-06
18,938	2,903309E-06
18,969	2,845454E-06
19,000	2,762580E-06
19,031	2,651077E-06
19,063	2,510661E-06
19,094	2,349551E-06
19,125	2,186088E-06
19,156	2,039249E-06
19,188	1,913424E-06
19,219	1,793480E-06
19,250	1,656191E-06
19,281	1,485611E-06
19,313	1,278478E-06
19,344	1,041375E-06
19,375	7,894013E-07
19,406	5,478631E-07
19,438	3,495764E-07
19,469	2,223648E-07
19,500	1,731316E-07
19,531	1,837913E-07
19,563	2,246004E-07
19,594	2,709882E-07
19,625	3,101441E-07
19,656	3,385911E-07
19,688	3,574782E-07
19,719	3,690843E-07
19,750	3,752588E-07
19,781	3,773336E-07
19,813	3,766056E-07
19,844	3,744487E-07
19,875	3,717492E-07
19,906	3,684143E-07
19,938	3,636612E-07
19,969	3,566323E-07
20,000	3,465919E-07
20,031	3,328819E-07
20,063	3,154296E-07
20,094	2,956417E-07
20,125	2,761795E-07
20,156	2,590911E-07
20,188	2,440894E-07
20,219	2,287985E-07
20,250	2,105614E-07
20,281	1,879764E-07
20,313	1,611316E-07
20,344	1,311288E-07
20,375	9,978154E-08
20,406	6,963071E-08
20,438	4,385271E-08
20,469	2,532247E-08
20,500	1,490956E-08
20,531	1,082648E-08
20,563	1,011499E-08
20,594	1,053252E-08
20,625	1,104782E-08
20,656	1,134826E-08
20,688	1,138466E-08
20,719	1,119913E-08
20,750	1,085303E-08
20,781	1,038398E-08
20,813	9,815410E-09
20,844	9,195403E-09
20,875	8,595817E-09
20,906	8,071582E-09
20,938	7,651020E-09
20,969	7,358435E-09
21,000	7,224784E-09
21,031	7,234510E-09
21,063	7,271976E-09
21,094	7,207565E-09
21,125	7,006095E-09
21,156	6,716212E-09
21,188	6,430276E-09
21,219	6,209750E-09
21,250	5,987343E-09
21,281	5,629468E-09
21,313	5,127325E-09
21,344	4,717824E-09
21,375	4,817548E-09
21,406	5,807195E-09
21,438	7,918051E-09
21,469	1,123639E-08
21,500	1,554734E-08
21,531	2,017722E-08
21,563	2,426738E-08
21,594	2,729963E-08
21,625	2,929027E-08
21,656	3,052516E-08
21,688	3,124445E-08
21,719	3,158983E-08
21,750	3,169544E-08
21,781	3,172962E-08
21,813	3,182951E-08
21,844	3,197643E-08
21,875	3,196548E-08
21,906	3,158128E-08
21,938	3,077637E-08
21,969	2,963371E-08
22,000	2,822856E-08
22,031	2,656401E-08
22,063	2,469744E-08
22,094	2,289947E-08
22,125	2,143919E-08
22,156	2,023441E-08
22,188	1,900640E-08
22,219	1,764251E-08
22,250	1,611233E-08
22,281	1,424687E-08
22,313	1,191382E-08
22,344	9,257203E-09
22,375	6,614013E-09
22,406	4,337927E-09
22,438	2,710452E-09
22,469	1,857913E-09
22,500	1,680543E-09
22,531	1,874095E-09
22,563	2,067069E-09
22,594	2,046941E-09
22,625	1,844346E-09
