,Start,Center,End,alphaC,alphaC_std,alphaN,alphaN_std
10,0.0013561498534953055,0.05137864013478509,0.10140113041607486,[  64.99977532 -299.99999945    0.91887343],[1.30182601e+02 6.16271377e+02 9.34950651e-11],[-1.08362309 -2.26649137],[0.53959976 0.59334295]
11,0.001374849849862143,0.05139734013115192,0.1014198304124417,[  64.96480945 -299.99999944    1.19119428],[1.29735209e+02 6.14471153e+02 2.59177167e-11],[-1.08373992 -2.26821877],[0.53806299 0.59231211]
12,0.0013935498462289801,0.05141604012751876,0.10143853040880854,[ 6.49298950e+01 -2.99999999e+02 -1.70883872e-01],[1.29291542e+02 6.12686268e+02 6.14817819e-13],[-1.08385658 -2.26994684],[0.53653937 0.59129226]
13,0.0014122498425958175,0.0514347401238856,0.10145723040517537,[  64.89502932 -299.99999953    1.24392329],[1.28847403e+02 6.10896833e+02 7.90845013e-12],[-1.08397309 -2.27167572],[0.53501149 0.59026491]
14,0.001430949838962655,0.051453440120252436,0.10147593040154221,[  64.86005894 -299.99999945   -1.24066483],[1.28406300e+02 6.09120967e+02 4.69370002e-11],[-1.08408987 -2.27341418],[0.53349532 0.58924987]
15,0.0014496498353294921,0.051472140116619276,0.10149463039790904,[  64.82529742 -299.99999946   -1.18589639],[1.27967713e+02 6.07353276e+02 6.78335448e-12],[-1.08420604 -2.27514431],[0.53198591 0.58823619]
16,0.0014683498316963293,0.05149084011298611,0.10151333039427589,[  64.79058925 -299.99999946   -0.57113041],[1.27531573e+02 6.05594930e+02 7.46837479e-11],[-1.08432204 -2.27687497],[0.53048439 0.58722775]
17,0.0014870498280631667,0.05150954010935295,0.10153203039064272,[  64.75605539 -299.99999983   -0.39234017],[1.27097638e+02 6.03843649e+02 1.28989748e-11],[-1.08443753 -2.27859919],[0.52898869 0.5862204 ]
18,0.001505749824430004,0.05152824010571979,0.10155073038700956,[  64.72144307 -299.99999982   -0.95251086],[1.26666644e+02 6.02105304e+02 3.68769268e-12],[-1.08455322 -2.28033151],[0.52750415 0.58522447]
19,0.0015244498207968413,0.05154694010208662,0.1015694303833764,[ 6.46868806e+01 -3.00000000e+02 -1.32495051e-01],[1.26235931e+02 6.00366066e+02 8.68613990e-11],[-1.08466875 -2.28206455],[0.52601854 0.58422425]
20,0.0015431498171636785,0.051565640098453464,0.10158813037974324,[  64.65236949 -299.99999983    1.76836064],[1.25807063e+02 5.98633377e+02 1.90285180e-11],[-1.08478411 -2.28379821],[0.52453839 0.58322681]
21,0.0015618498135305159,0.0515843400948203,0.10160683037611007,[  64.61790101 -299.99999983    1.3870929 ],[1.25380814e+02 5.96911019e+02 6.89545960e-12],[-1.08489934 -2.285533  ],[0.52306702 0.58223598]
22,0.0015805498098973533,0.05160304009118714,0.1016255303724769,[ 6.45834894e+01 -3.00000000e+02 -1.42574503e-01],[1.24955207e+02 5.95189408e+02 1.84171029e-11],[-1.08501438 -2.28726809],[0.52159605 0.58124279]
23,0.0015992498062641905,0.05162174008755397,0.10164423036884375,[  64.54905365 -299.99999995   -1.21690847],[1.24531227e+02 5.93474047e+02 2.79246628e-11],[-1.08512946 -2.28900821],[0.52013034 0.58025347]
24,0.0016179498026310279,0.05164044008392081,0.10166293036521058,[  64.51473231 -299.9999999     1.12960529],[1.24110097e+02 5.91769516e+02 9.52214690e-11],[-1.0852442  -2.29074526],[0.51867378 0.57926982]
25,0.001636649798997865,0.05165914008028765,0.10168163036157742,[  64.48045889 -299.99999971   -1.91477419],[1.23691205e+02 5.90073485e+02 8.35957758e-12],[-1.08535879 -2.29248311],[0.51722442 0.57829125]
26,0.0016553497953647025,0.051677840076654484,0.10170033035794426,[  64.44631256 -299.99999977   -1.82299675],[1.23275255e+02 5.88388650e+02 3.54945699e-11],[-1.08547299 -2.2942171 ],[0.51578453 0.57731865]
27,0.0016740497917315396,0.051696540073021324,0.1017190303543111,[  64.41203293 -299.99999987    1.35881488],[1.22856599e+02 5.86690355e+02 2.95475636e-11],[-1.08558755 -2.29596255],[0.51433275 0.57633343]
