,Start,Center,End,alphaC,alphaC_std,alphaN,alphaN_std
38,0.00187974975176675,0.004404249261289786,0.006928748770812822,[ 1.85434341e-01  6.10786655e+01 -1.91014561e+03],[8.31210174e-04 3.76561458e-01 4.02309921e+01],[0. 0.],[0. 0.]
39,0.0018984497481335872,0.004422949257656622,0.0069474487671796585,[ 1.85893853e-01  6.08844792e+01 -1.89065688e+03],[8.15762715e-04 3.68104744e-01 3.91829136e+01],[0. 0.],[0. 0.]
40,0.0019171497445004246,0.00444164925402346,0.006966148763546495,[ 1.86340300e-01  6.06971827e+01 -1.87198995e+03],[8.00421113e-04 3.59760678e-01 3.81543561e+01],[0. 0.],[0. 0.]
41,0.001935849740867262,0.004460349250390298,0.006984848759913334,[ 1.86774138e-01  6.05164964e+01 -1.85410810e+03],[7.85205972e-04 3.51537215e-01 3.71459527e+01],[0. 0.],[0. 0.]
42,0.001954549737234099,0.004479049246757134,0.0070035487562801705,[ 1.87195744e-01  6.03421837e+01 -1.83697962e+03],[7.70140095e-04 3.43443269e-01 3.61584338e+01],[0. 0.],[0. 0.]
43,0.0019732497336009368,0.004497749243123972,0.007022248752647007,[ 1.87603122e-01  6.01751115e+01 -1.82069012e+03],[7.55247115e-04 3.35487924e-01 3.51925329e+01],[0. 0.],[0. 0.]
44,0.001991949729967774,0.00451644923949081,0.007040948749013846,[ 1.87999089e-01  6.00139078e+01 -1.80508765e+03],[7.40552715e-04 3.27681049e-01 3.42490557e+01],[0. 0.],[0. 0.]
45,0.002010649726334611,0.004535149235857646,0.0070596487453806825,[ 1.88379486e-01  5.98604341e+01 -1.79036238e+03],[7.26083360e-04 3.20032665e-01 3.33288091e+01],[0. 0.],[0. 0.]
46,0.0020293497227014483,0.004553849232224484,0.007078348741747519,[ 1.88750344e-01  5.97118507e+01 -1.77620920e+03],[7.11867375e-04 3.12553488e-01 3.24326636e+01],[0. 0.],[0. 0.]
47,0.0020480497190682855,0.004572549228591322,0.007097048738114358,[ 1.89107475e-01  5.95700286e+01 -1.76281906e+03],[6.97935024e-04 3.05254921e-01 3.15615496e+01],[0. 0.],[0. 0.]
48,0.002066749715435123,0.004591249224958158,0.0071157487344811945,[ 1.89450198e-01  5.94352117e+01 -1.75021087e+03],[6.84317190e-04 2.98148391e-01 3.07163772e+01],[0. 0.],[0. 0.]
49,0.0020854497118019603,0.004609949221324996,0.007134448730848031,[ 1.89780259e-01  5.93065438e+01 -1.73828927e+03],[6.71046766e-04 2.91246063e-01 2.98981272e+01],[0. 0.],[0. 0.]
50,0.0021041497081687975,0.004628649217691834,0.007153148727214868,[ 1.90097411e-01  5.91840800e+01 -1.72705430e+03],[6.58158259e-04 2.84560619e-01 2.91078159e+01],[0. 0.],[0. 0.]
51,0.002122849704535635,0.00464734921405867,0.0071718487235817065,[ 1.90401831e-01  5.90676834e+01 -1.71648619e+03],[6.45687133e-04 2.78104927e-01 2.83464644e+01],[0. 0.],[0. 0.]
52,0.0021415497009024723,0.004666049210425508,0.007190548719948543,[ 1.90692831e-01  5.89576064e+01 -1.70660534e+03],[6.33670291e-04 2.71892299e-01 2.76151238e+01],[0. 0.],[0. 0.]
53,0.0021602496972693095,0.004684749206792346,0.00720924871631538,[ 1.90970583e-01  5.88537129e+01 -1.69739212e+03],[6.22145248e-04 2.65936051e-01 2.69148279e+01],[0. 0.],[0. 0.]
54,0.002178949693636147,0.004703449203159182,0.0072279487126822185,[ 1.91235263e-01  5.87558686e+01 -1.68882733e+03],[6.11150950e-04 2.60249957e-01 2.62466454e+01],[0. 0.],[0. 0.]
55,0.002197649690002984,0.004722149199526019,0.007246648709049055,[ 1.91487051e-01  5.86639383e+01 -1.68089194e+03],[6.00726351e-04 2.54847544e-01 2.56116018e+01],[0. 0.],[0. 0.]
56,0.0022163496863698215,0.004740849195892858,0.007265348705415892,[ 1.91725714e-01  5.85779717e+01 -1.67358578e+03],[5.90910665e-04 2.49742277e-01 2.50107048e+01],[0. 0.],[0. 0.]
57,0.0022350496827366587,0.004759549192259694,0.0072840487017827305,[ 1.91950135e-01  5.84984018e+01 -1.66694729e+03],[5.81742970e-04 2.44947319e-01 2.44449132e+01],[0. 0.],[0. 0.]
58,0.002253749679103496,0.004778249188626531,0.007302748698149567,[ 1.92162670e-01  5.84241431e+01 -1.66086198e+03],[5.73261329e-04 2.40475210e-01 2.39151125e+01],[0. 0.],[0. 0.]
59,0.0022724496754703335,0.00479694918499337,0.007321448694516404,[ 1.92361571e-01  5.83559077e+01 -1.65539661e+03],[5.65502444e-04 2.36337734e-01 2.34220999e+01],[0. 0.],[0. 0.]
60,0.0022911496718371707,0.004815649181360206,0.0073401486908832424,[ 1.92547481e-01  5.82933625e+01 -1.65051287e+03],[5.58501393e-04 2.32545829e-01 2.29665784e+01],[0. 0.],[0. 0.]
61,0.002309849668204008,0.004834349177727043,0.007358848687250079,[ 1.92720168e-01  5.82365557e+01 -1.64621081e+03],[5.52290653e-04 2.29109175e-01 2.25491158e+01],[0. 0.],[0. 0.]
62,0.0023285496645708455,0.004853049174093881,0.007377548683616916,[ 1.92879456e-01  5.81855122e+01 -1.64248813e+03],[5.46899048e-04 2.26035790e-01 2.21701091e+01],[0. 0.],[0. 0.]
63,0.0023472496609376822,0.004871749170460718,0.007396248679983754,[ 1.93026065e-01  5.81398714e+01 -1.63930455e+03],[5.42352242e-04 2.23332280e-01 2.18298120e+01],[0. 0.],[0. 0.]
64,0.00236594965730452,0.004890449166827555,0.007414948676350591,[ 1.93159167e-01  5.80999384e+01 -1.63668566e+03],[5.38671045e-04 2.21003140e-01 2.15282672e+01],[0. 0.],[0. 0.]
65,0.0023846496536713575,0.004909149163194393,0.007433648672717428,[ 1.93279526e-01  5.80653375e+01 -1.63459009e+03],[5.35871367e-04 2.19050793e-01 2.12653148e+01],[0. 0.],[0. 0.]
66,0.002403349650038194,0.00492784915956123,0.007452348669084266,[ 1.93387191e-01  5.80360017e+01 -1.63300707e+03],[5.33963614e-04 2.17475389e-01 2.10405797e+01],[0. 0.],[0. 0.]
67,0.002422049646405032,0.004946549155928067,0.007471048665451103,[ 1.93480987e-01  5.80123783e+01 -1.63197598e+03],[5.32952537e-04 2.16274758e-01 2.08534644e+01],[0. 0.],[0. 0.]
68,0.002440749642771869,0.004965249152294905,0.00748974866181794,[ 1.93562296e-01  5.79938373e+01 -1.63143124e+03],[5.32836934e-04 2.15444378e-01 2.07031558e+01],[0. 0.],[0. 0.]
69,0.002459449639138706,0.004983949148661742,0.007508448658184778,[ 1.93631153e-01  5.79803199e+01 -1.63136330e+03],[5.33609623e-04 2.14977340e-01 2.05886192e+01],[0. 0.],[0. 0.]
70,0.002478149635505544,0.005002649145028579,0.007527148654551615,[ 1.93686165e-01  5.79723612e+01 -1.63181985e+03],[5.35257560e-04 2.14864507e-01 2.05086251e+01],[0. 0.],[0. 0.]
71,0.002496849631872381,0.005021349141395417,0.007545848650918452,[ 1.93729028e-01  5.79692103e+01 -1.63272460e+03],[5.37761908e-04 2.15094533e-01 2.04617468e+01],[0. 0.],[0. 0.]
72,0.002515549628239218,0.005040049137762254,0.007564548647285289,[ 1.93758824e-01  5.79712038e+01 -1.63410617e+03],[5.41098823e-04 2.15654234e-01 2.04464018e+01],[0. 0.],[0. 0.]
73,0.002534249624606056,0.005058749134129091,0.007583248643652127,[ 1.93776078e-01  5.79780812e+01 -1.63593594e+03],[5.45239399e-04 2.16528604e-01 2.04608583e+01],[0. 0.],[0. 0.]
74,0.0025529496209728926,0.005077449130495928,0.007601948640018964,[ 1.93780351e-01  5.79899807e+01 -1.63822344e+03],[5.50151202e-04 2.17701474e-01 2.05032983e+01],[0. 0.],[0. 0.]
75,0.00257164961733973,0.005096149126862766,0.007620648636385801,[ 1.93772810e-01  5.80063830e+01 -1.64091591e+03],[5.55797336e-04 2.19155078e-01 2.05717726e+01],[0. 0.],[0. 0.]
76,0.0025903496137065674,0.005114849123229603,0.007639348632752639,[ 1.93752639e-01  5.80275813e+01 -1.64403783e+03],[5.62138814e-04 2.20871151e-01 2.06643179e+01],[0. 0.],[0. 0.]
77,0.0026090496100734046,0.00513354911959644,0.007658048629119476,[ 1.93719531e-01  5.80536590e+01 -1.64759363e+03],[5.69134229e-04 2.22830685e-01 2.07789213e+01],[0. 0.],[0. 0.]
78,0.002627749606440242,0.005152249115963278,0.007676748625486313,[ 1.93673667e-01  5.80845006e+01 -1.65156904e+03],[5.76740440e-04 2.25014273e-01 2.09135619e+01],[0. 0.],[0. 0.]
79,0.0026464496028070794,0.005170949112330115,0.007695448621853151,[ 1.93616387e-01  5.81195285e+01 -1.65590681e+03],[5.84913168e-04 2.27402323e-01 2.10662271e+01],[0. 0.],[0. 0.]
80,0.0026651495991739165,0.005189649108696952,0.007714148618219988,[ 1.93546506e-01  5.81591818e+01 -1.66064503e+03],[5.93608119e-04 2.29975553e-01 2.12349605e+01],[0. 0.],[0. 0.]
81,0.002683849595540754,0.00520834910506379,0.007732848614586825,[ 1.93464868e-01  5.82030848e+01 -1.66574567e+03],[6.02780341e-04 2.32714642e-01 2.14178265e+01],[0. 0.],[0. 0.]
82,0.0027025495919075914,0.005227049101430627,0.007751548610953663,[ 1.93368707e-01  5.82523001e+01 -1.67130415e+03],[6.12386099e-04 2.35601022e-01 2.16129815e+01],[0. 0.],[0. 0.]
83,0.0027212495882744285,0.005245749097797464,0.0077702486073205,[ 1.93264870e-01  5.83040745e+01 -1.67706313e+03],[6.22381336e-04 2.38616258e-01 2.18186205e+01],[0. 0.],[0. 0.]
84,0.002739949584641266,0.005264449094164302,0.007788948603687337,[ 1.93146177e-01  5.83612188e+01 -1.68327941e+03],[6.32723910e-04 2.41742913e-01 2.20330530e+01],[0. 0.],[0. 0.]
85,0.002758649581008103,0.005283149090531139,0.007807648600054175,[ 1.93017766e-01  5.84216697e+01 -1.68976045e+03],[6.43372317e-04 2.44964024e-01 2.22546522e+01],[0. 0.],[0. 0.]
86,0.0027773495773749405,0.005301849086897976,0.007826348596421012,[ 1.92876647e-01  5.84865707e+01 -1.69660864e+03],[6.54286289e-04 2.48263314e-01 2.24818740e+01],[0. 0.],[0. 0.]
87,0.0027960495737417777,0.0053205490832648125,0.007845048592787849,[ 1.92723924e-01  5.85554550e+01 -1.70377863e+03],[6.65427706e-04 2.51625557e-01 2.27132882e+01],[0. 0.],[0. 0.]
88,0.002814749570108615,0.005339249079631651,0.007863748589154687,[ 1.92560321e-01  5.86280089e+01 -1.71123954e+03],[6.76758819e-04 2.55035858e-01 2.29475149e+01],[0. 0.],[0. 0.]
89,0.0028334495664754525,0.005357949075998488,0.007882448585521524,[ 1.92385138e-01  5.87044741e+01 -1.71901103e+03],[6.88244567e-04 2.58480554e-01 2.31833004e+01],[0. 0.],[0. 0.]
90,0.0028521495628422897,0.0053766490723653245,0.00790114858188836,[ 1.92198812e-01  5.87846505e+01 -1.72707269e+03],[6.99850706e-04 2.61946480e-01 2.34194533e+01],[0. 0.],[0. 0.]
91,0.002870849559209127,0.005395349068732163,0.007919848578255197,[ 1.92002012e-01  5.88682512e+01 -1.73539658e+03],[7.11544811e-04 2.65421290e-01 2.36548673e+01],[0. 0.],[0. 0.]
92,0.0028895495555759645,0.005414049065099,0.007938548574622036,[ 1.91793082e-01  5.89558838e+01 -1.74403511e+03],[7.23295569e-04 2.68893250e-01 2.38885080e+01],[0. 0.],[0. 0.]
93,0.0029082495519428013,0.0054327490614658365,0.007957248570988873,[ 1.91574945e-01  5.90464010e+01 -1.75288354e+03],[7.35073642e-04 2.72351510e-01 2.41194298e+01],[0. 0.],[0. 0.]
94,0.002926949548309639,0.005451449057832675,0.00797594856735571,[ 1.91345529e-01  5.91405683e+01 -1.76200844e+03],[7.46850702e-04 2.75785731e-01 2.43467452e+01],[0. 0.],[0. 0.]
